,perusahaan,alamat,telepon,email,status,persentase,estimasi bulan,sektor_usaha,group/retail,trainer
3930,"Jones, Perry and Drake","6778 Timothy Ways Suite 258
Garcialand, FL 38864",001-527-251-3548,mullinswendy@example.net,closing,100,July,perbankan,retail,Ext
3931,Gray-Bradshaw,"093 Andrew Mountain Suite 811
Lake Carolfort, KS 10867",807.497.0839x9421,george30@example.net,closing,100,October,industri,group,AL
3932,Henry Group,"598 Randy Cape Apt. 067
West Chasebury, WI 12227",(993)866-4252x40364,daniel32@example.org,closing,100,April,teknologi,group,Ext
3933,Lopez-Carter,"68084 Harmon Inlet Apt. 794
Brandonhaven, ME 18400",001-997-253-7226x3534,josephtanner@example.org,closing,100,October,finansial,retail,BN/DP
3934,Nguyen-Evans,"22935 Davis Garden
Port Taylortown, MA 59197",529-987-3300x83886,tsmith@example.net,closing,100,July,pariwisata,retail,IM
3935,Lee and Sons,"36979 Hess Key
Wilsonview, AZ 05862",341-461-2838,littlesusan@example.com,closing,100,February,pariwisata,retail,AL
3936,"Thompson, Strickland and Johnson","06182 Smith Crescent
Santiagomouth, WA 12839",544-470-0400,tracyallen@example.net,closing,100,May,industri,retail,Ext
3937,Taylor-Miller,"9206 Gonzalez Landing Apt. 024
Lopezburgh, AK 71579",2742816335,kellymartinez@example.net,closing,100,August,finansial,group,Ext
3938,Cooper Inc,"24592 Steve Pines Apt. 083
West Lisamouth, RI 87922",969.598.5969x7397,ptaylor@example.net,closing,100,August,pertambangan,group,BN/DP
3939,Wilson-Mcintosh,"68211 Patel Burgs Suite 890
Josephtown, NJ 13378",+1-245-643-1815x36515,gabriel61@example.com,closing,100,January,industri,group,AL
3940,Allen and Sons,"698 Taylor Lights Apt. 401
Silvatown, LA 36624",657.324.9367x25251,williamsbrent@example.com,closing,100,May,perbankan,group,AL/BN/IM
3941,Reed-Adams,"661 Brenda Glen
Fischerstad, NM 32548",392-233-9308x5732,jasonbarrera@example.com,closing,100,January,perdagangan,retail,AL
3942,Chandler Ltd,"637 Cooley Ports Suite 983
North Anita, CT 37058",(898)269-6223x5008,qquinn@example.org,closing,100,July,perbankan,group,AL/BN/IM
3943,"Chaney, Johnson and Bentley","Unit 5018 Box 4449
DPO AP 24752",302.717.1978,scabrera@example.com,closing,100,August,pariwisata,group,BN/AL/IM
3944,"Sutton, Fleming and Wood","0790 Young Mall Suite 403
Lynnfort, NJ 99835",(264)380-2677,amy46@example.org,closing,100,December,perbankan,retail,Ext
3945,Higgins Group,"1601 Roberts Lock
Ellisland, PA 53067",+1-241-343-0310x5735,jennifer65@example.com,closing,100,January,pertambangan,retail,Ext
3946,Sexton Group,"486 Washington Heights Apt. 463
Port Ashleyberg, IA 71903",9845602292,taylorkelly@example.com,closing,100,February,pariwisata,retail,AL
3947,"Hicks, Parker and Hall","3887 Allison Villages
Millertown, MH 05315",507.620.9934,cynthia97@example.org,closing,100,December,jasa,retail,BN/DP
3948,Sandoval-Johnson,"024 Tricia Motorway
Rebeccaville, AK 06090",001-341-684-0023x6932,sarah03@example.net,closing,100,September,perdagangan,group,Ext
3949,Gordon-Schmidt,"Unit 0584 Box 8114
DPO AP 65538",(625)502-9317,elizabeth30@example.com,closing,100,January,perdagangan,retail,BN/AL/IM
3950,"Monroe, Vargas and Weaver","64164 Melissa Island
Lake Matthew, ME 07707",577-497-0990x2393,jordanmichael@example.net,closing,100,February,perbankan,group,BN/AL/IM
3951,Dawson PLC,"6667 Scott Islands Suite 529
East Ericfort, NV 46679",841-395-7759,angela87@example.org,closing,100,April,pertambangan,group,AL
3952,Snow Group,"053 Garcia Highway
Lake Russellmouth, VA 51610",001-668-437-1309x96204,darrylmontgomery@example.net,closing,100,September,teknologi,retail,BN/AL/IM
3953,Hebert-Klein,"770 Anna Terrace Suite 034
Port Kevin, PR 89966",986.431.1213x69336,hunterterri@example.com,closing,100,September,pariwisata,group,Ext
3954,"Lutz, Zimmerman and Dennis","7166 Jacob Port
South Joshuafort, FM 62058",8324103776,sanchezalexis@example.com,closing,100,January,perdagangan,group,AL
3955,"Carrillo, Francis and Peck","690 Alexis Falls Suite 032
New Stephanieberg, IL 27069",001-915-934-5580x318,lisasanchez@example.net,closing,100,February,jasa,group,BN/AL/ External
3956,"Delgado, King and Williams","9859 Baker Heights
Paulmouth, OK 45521",+1-256-321-3961,stephaniemassey@example.org,closing,100,May,perdagangan,retail,Ext
3957,Costa-Vega,"833 Gates Fall
Colemanfurt, GA 12994",001-668-589-6106x624,ywells@example.org,closing,100,February,industri,group,AL
3958,Bennett LLC,"051 Lozano Pine
Farleyfurt, KY 06285",501-768-5111,kdurham@example.net,closing,100,October,jasa,group,External
3959,Davis-Lane,"56105 James Shoal
North Michael, OH 63744",3365067740,rodney93@example.com,closing,100,December,pertambangan,group,Ext
3960,"James, Buck and Wells","7446 Humphrey Streets Apt. 202
Porterland, VI 86974",4093859475,kingrussell@example.org,closing,100,January,pertambangan,group,BN/AL/IM
3961,"Callahan, Davis and Mckinney","95461 Boyer Estates
Port Amandaland, CA 46174",001-474-368-1121x705,kochashley@example.org,closing,100,July,pariwisata,retail,BN/AL/IM
3962,"Meadows, Rodriguez and Simmons","PSC 3981, Box 7238
APO AP 76873",(447)968-9824x00139,ngreene@example.org,closing,100,February,perdagangan,retail,BN/AL/IM
3963,Sims and Sons,"002 Hernandez Drive Apt. 886
East Bobby, OH 08954",+1-348-341-0429,abbottmichael@example.org,closing,100,March,pariwisata,retail,BN/AL/IM
3964,"Benson, Thornton and Freeman","5433 Hall Ways
Phillipstad, SC 98436",820.865.6503x0161,pgiles@example.org,closing,100,September,teknologi,retail,Ext
3965,"Jackson, Perry and Hogan","47140 Daisy Flat Suite 402
Chavezton, NY 89390",(602)351-8104x9361,hstevens@example.org,closing,100,June,perdagangan,retail,BN/AL/IM
3966,"Mitchell, Hill and Hall","26097 Rachel Spur Suite 809
Kathrynhaven, PR 14486",401-265-6474x582,fosterthomas@example.com,closing,100,November,industri,group,AL/BN/IM
3967,"Villa, Brown and Rogers","118 Lindsey Ports
Paigeburgh, WI 17101",001-228-225-2689,armstrongemily@example.com,closing,100,March,finansial,retail,BN/DP
3968,Ellis Group,"USS Rogers
FPO AP 07617",416.636.8030,stevensmith@example.net,closing,100,September,perbankan,retail,Ext
3969,Johnson Inc,"365 Hayes Pike
East Caleb, AZ 81000",5578685985,garciarichard@example.com,closing,100,June,perbankan,group,AL
3970,"Sanchez, Hill and Hall","56385 Bradley Lodge Apt. 150
New Robinborough, MN 93463",001-710-290-7143x6332,josephjones@example.net,closing,100,July,pariwisata,retail,Ext
3971,Smith-Golden,"6994 Anthony Haven Apt. 075
Roberthaven, MS 87396",+1-505-879-6281x2288,larrysmith@example.net,closing,100,October,perdagangan,retail,BN/AL/IM
3972,"Allen, Lee and Torres","PSC 5596, Box 8258
APO AP 22701",(654)231-2448x77138,ayalakyle@example.com,closing,100,February,perbankan,retail,BN/AL/IM
3973,Thompson-Holland,"Unit 1376 Box 1709
DPO AP 50193",339-285-3335x67468,royphelps@example.com,closing,100,October,industri,retail,BN/AL/IM
3974,Bishop PLC,"195 Day Divide
Lake Kevinstad, DE 75607",774.353.0678x02720,sgarcia@example.net,closing,100,May,finansial,retail,BN/AL/IM
3975,Fields-Macias,"11651 Lisa Turnpike
South Deborahmouth, VT 80352",(778)773-5285,trevinotaylor@example.org,closing,100,January,pariwisata,group,BN//AL/IM
3976,"Jones, Mcguire and Martinez","36576 Chad Divide
West James, OR 43952",731-929-5238,ppearson@example.org,closing,100,July,perbankan,group,AL/BN/IM
3977,"Martin, Jackson and Gomez","968 Vasquez Island Apt. 124
Port Andrewbury, FL 99055",871.774.6285x845,ldaniels@example.com,closing,100,October,finansial,retail,Ext
3978,"Schaefer, Gonzalez and Collier","4361 Robert Flats
West Lindsay, MH 78768",001-783-505-7006x671,catherinemccullough@example.org,closing,100,September,pariwisata,retail,BN/AL/IM
3979,Mcclure Ltd,"9835 Fernandez Land
East Sherriberg, KS 87446",746-755-1045x5758,johnsonangela@example.net,closing,100,December,pariwisata,group,BN/DP
3980,Wilkins Ltd,"USNV Hernandez
FPO AA 60747",(372)228-7390x7141,victor85@example.com,closing,100,September,jasa,group,Ext
3981,Austin LLC,"742 Johnson Wall
Olsonmouth, PW 94573",001-888-348-9301x03579,wpeters@example.com,closing,100,July,pariwisata,group,BN/DP
3982,Wheeler LLC,"809 Brooks Parks Apt. 618
East Amy, NE 07041",(959)769-2119x5321,adamsjustin@example.org,closing,100,February,pertambangan,group,Ext
3983,Lawrence-Stokes,"6507 Yvonne Plain
Brianfort, CA 92315",001-712-753-8193x6479,dawn99@example.com,closing,100,March,pariwisata,group,Ext
3984,"Murray, Lewis and Freeman","8325 Corey Tunnel
West Paul, FM 83287",(638)721-5155x4449,pdavis@example.org,closing,100,January,teknologi,group,"AL, Ext, BN/IM"
3985,Griffin-Clark,"9423 Williams Rest Suite 827
East Suzanneton, TN 31409",+1-258-503-8500x526,rhall@example.net,closing,100,March,teknologi,group,"RL,SH"
3986,Palmer-Valdez,"55667 Robert Villages
East Scottside, WV 83073",980.314.1873x59746,robbinssherry@example.org,closing,100,January,pertambangan,retail,BN
3987,Andrade-Haley,"948 Christopher Cliffs Suite 876
Nicholasborough, CA 43055",425-673-5733x174,kimberlywilliams@example.net,closing,100,August,pertambangan,group,Ext
3988,Davis-Stevens,"USCGC Brown
FPO AA 44777",(308)237-4811,michael43@example.com,closing,100,July,teknologi,retail,Ext
3989,Wilson PLC,"74394 Moreno Trafficway
Lake Susan, IL 79004",(569)692-9525x4736,andrew28@example.org,closing,100,February,pertambangan,retail,Ext
3990,Orr-Jacobson,"838 Hoffman Cliff Apt. 426
Josephton, AR 49090",349.859.5491,huffpaige@example.org,closing,100,January,perbankan,group,Ext
3991,Martinez Inc,"Unit 2010 Box 3289
DPO AE 10477",(800)948-1453x23787,david22@example.com,closing,100,November,pertambangan,group,BN/AL/IM
3992,"Ferguson, Barnes and Jordan","7684 Grant Springs
Charlesport, FM 70014",4493818123,joshuaolson@example.net,closing,100,April,perbankan,group,AL
3993,"Grant, Love and Miller","07127 Danielle Forks
Lindaville, MO 38207",(765)963-4359x781,dawncook@example.org,closing,100,August,pariwisata,retail,BN/AL/IM/ ext
3994,Wilson and Sons,"08972 Lee Stream
Alexisstad, NJ 78096",001-961-445-6972x1089,jane89@example.com,closing,100,September,pertambangan,retail,BN/DP
3995,Diaz Group,"71349 Nicole Trail
Kimberlystad, MD 96237",552-694-8812x52211,shutchinson@example.net,closing,100,July,industri,group,BN/AL/IM
3996,Johnson Inc,"670 Brian Dam Apt. 300
Sherryview, SC 30897",001-825-881-0914x29930,pruiz@example.com,closing,100,September,jasa,group,Ext
3997,Rivera-King,"1611 Patel Expressway
Cherylburgh, MP 79348",+1-574-340-4010,twall@example.net,closing,100,May,perdagangan,retail,Ext
3998,Thomas LLC,"482 Mckinney Village Suite 188
Lake Lisa, NV 85471",854.220.5413,sanchezlindsay@example.org,closing,100,November,perdagangan,group,Ext
3999,Cooke-Bonilla,"3920 Anthony Squares Apt. 750
New Danielview, VI 24495",001-467-425-1417x290,sramirez@example.com,closing,100,September,jasa,retail,Ext/AL
4000,"Lopez, Wilson and Walker","14030 Jones Freeway Suite 832
Port Williammouth, NE 32041",290-534-0057x6347,keith11@example.net,closing,100,May,perdagangan,group,BN/AL/IM
4001,Franklin-Garcia,"18874 Matthew Gateway Apt. 651
North Samuelfurt, SD 66956",(500)578-7950,zruiz@example.org,closing,100,February,pertambangan,retail,Extrnal (Martoyo & Nanang)
4002,Marshall and Sons,"USNS Miller
FPO AE 75857",3866144819,deniseclark@example.net,closing,100,June,perbankan,group,AL/BN/IM
4003,Lewis-Pace,"169 Love Parks
Banksview, NH 98957",249.780.9116,lindsaylee@example.org,closing,100,January,perdagangan,group,AL/BN/IM
4004,Pierce-Carroll,"2360 Hughes Forest Apt. 276
Ericksonfort, ME 85849",(690)553-6926x96217,jason83@example.org,closing,100,October,finansial,group,AL
4005,Russell and Sons,"624 Barry Knoll Suite 270
Kristintown, SC 11385",(485)569-9213x32545,connievelazquez@example.net,closing,100,March,pariwisata,group,DP
4006,"Jensen, Anderson and Guzman","461 Valerie Vista Suite 233
Lake Melissa, ND 63699",+1-504-415-3990,heather12@example.com,closing,100,February,pertambangan,retail,AL/BN
4007,"Barber, Hess and Cohen","4938 Padilla Park Suite 273
New James, NM 33905",787.707.5652x428,christina12@example.com,closing,100,January,teknologi,retail,Ext
4008,Roth LLC,"799 Kendra Port
West Shannonport, NJ 83948",8343148066,zward@example.org,closing,100,May,finansial,group,Ext
4009,"Moore, Lopez and Oliver","9995 Ramirez Plaza
Dennisbury, PA 62502",(432)700-2397x1654,dustinbrown@example.org,closing,100,November,pertambangan,group,"DP,BN & AL"
4010,Smith-Tucker,"8443 Matthew Inlet Apt. 121
Brandontown, VI 57165",735.870.8203,hurleysierra@example.net,closing,100,October,perbankan,group,AL
4011,"Camacho, Morales and Mann","2442 Kramer Field Apt. 478
Lewistown, WY 60824",876.431.4636,mrichards@example.net,closing,100,March,perbankan,group,BN/AL/IM
4012,Espinoza-Juarez,"USCGC Morris
FPO AE 03500",001-611-635-6736,banksalexandra@example.com,closing,100,March,teknologi,group,AL/BN/IM
4013,Davis and Sons,"54766 Lloyd Fork
Justinborough, LA 06692",(939)456-0296,wking@example.com,closing,100,October,industri,retail,AL
4014,Hooper and Sons,"93761 Kathryn Fields
Chambersmouth, LA 07221",001-493-386-2543x048,halegeorge@example.com,closing,100,August,industri,retail,BN/AL/IM
4015,"Hendrix, Clark and Harris","420 Miller Way
Port April, MH 07791",001-879-557-4253x87845,nicholsangela@example.net,closing,100,February,perdagangan,retail,BN/AL/IM
4016,Benson Inc,"662 Perez Falls
North Danielleborough, AK 46620",532-765-9545x99556,xpatrick@example.net,closing,100,August,pariwisata,retail,BN/AL/IM
4017,Davis-Hill,"50463 Fuller Tunnel Suite 490
Robertstad, LA 86625",(665)342-3704x9297,stevenavila@example.net,closing,100,December,pertambangan,group,AL
4018,Lopez and Sons,"8489 Paula Ranch Apt. 241
New Williamland, OR 59062",820.489.1569x16217,zhall@example.net,closing,100,October,pariwisata,group,AL/BN/IM
4019,Lewis LLC,"053 William Stream
Lake Gabriela, OH 40842",(540)513-6627,eramirez@example.net,closing,100,July,teknologi,group,AL
4020,Jackson PLC,"2264 Barnes Coves
Port Johnnymouth, DE 33365",755.767.2439x6944,garyprice@example.org,closing,100,February,industri,retail,FD/DP
4021,Schmidt-Rogers,"1973 Horton Trail
Alexandershire, MS 85706",001-579-764-0792x2733,bhughes@example.org,closing,100,July,teknologi,group,BN/AL/IM/ ext
4022,"Weeks, Nelson and Nash","16452 Morris Union Apt. 411
South Theresa, VT 28789",+1-457-832-0837x3740,sjarvis@example.com,closing,100,January,industri,group,AL/BN/IM
4023,"Martinez, Greer and Hatfield","774 Sara Lights
New Donaldborough, AR 99140",259-357-9194x4582,sandraflores@example.net,closing,100,April,jasa,retail,BN/AL/IM
4024,Ross-Kaufman,"74957 Baker Walk Suite 066
Johnbury, NY 41914",001-848-377-9012x88502,phenderson@example.org,closing,100,January,finansial,group,AL
4025,Hall Inc,"33877 Charles Trail Suite 832
South Paulaside, WA 55355",685-792-6387x99913,harrisontammy@example.net,closing,100,October,jasa,retail,Ext
4026,Mcknight-Jordan,"95296 Morgan Lodge Suite 408
West Marcfurt, GA 51770",+1-930-355-3762x0331,benjaminluna@example.org,closing,100,September,finansial,retail,BN/AL/IM
4027,Ramirez-Young,"38893 Allison Turnpike Apt. 965
Hernandezbury, SC 77127",(222)878-5079x981,costakim@example.com,closing,100,May,perbankan,group,FD/DP
4028,"Wilson, Mccormick and Velazquez","USNV Knight
FPO AA 55043",001-470-654-1945x61830,tclark@example.net,closing,100,May,jasa,retail,BN/AL/IM
4029,"Garrett, Taylor and Jones","0983 Braun Cliffs Apt. 160
Thomasburgh, IA 20016",+1-231-406-6949,ashleycruz@example.org,closing,100,August,finansial,retail,Ext
4030,"Bartlett, Mooney and Nelson","3605 Johns Knoll Suite 147
Port Jakefurt, VI 39269",(352)969-8938,howardwendy@example.org,closing,100,September,perbankan,group,AL/BN/IM
4031,Wilkinson-Hoffman,"6936 Bush Turnpike
Lake Nathantown, RI 25720",(976)478-5813,meganbrooks@example.com,closing,100,July,jasa,retail,Ext
4032,"Burton, Gillespie and Rivera","850 Howe Station
Pittschester, CA 46371",204-424-1896x34090,phyllisbryant@example.net,closing,100,October,teknologi,retail,Ext
4033,"Smith, Green and Walker","503 Rachael Glens
Hudsonmouth, NM 84155",400.294.5105x57708,oliviabailey@example.com,closing,100,March,perbankan,group,Ext
4034,Mccarty-Stokes,"003 Kristi Freeway Apt. 924
New Catherineville, NJ 79826",001-237-766-9072x90613,terrymann@example.org,closing,100,August,industri,group,AL/BN/IM
4035,"Simmons, Poole and Martin","63077 Christian Center Suite 571
West Jeffrey, NY 62154",6967243260,shannonbuchanan@example.org,closing,100,July,teknologi,group,Ext
4036,"Wilson, Brown and Walker","442 Michael Lock Apt. 014
Lawrencefurt, AZ 91118",(880)949-5583,bdiaz@example.com,closing,100,December,perdagangan,group,AL
4037,Hogan Ltd,"05224 Christian Summit
New Joanne, NC 72752",+1-491-760-8401x98885,william81@example.com,closing,100,June,finansial,group,AL
4038,Munoz-Terry,"447 Cooper Views Apt. 522
Josephburgh, IN 57140",854.824.0118x42955,fmoreno@example.com,closing,100,October,finansial,group,BN/AL/IM/ ext
4039,Ryan-Beasley,"48517 Dawn Field Suite 806
Mcmillanland, WY 17850",299.470.4396x76987,warddavid@example.org,closing,100,April,pariwisata,retail,AL/BN/IM
4040,"Jones, Ramirez and Warren","5957 Armstrong Springs Apt. 162
Devonmouth, CA 95614",(604)887-1145,richardssusan@example.com,closing,100,April,pariwisata,retail,Ext
4041,Booth Ltd,"863 Moss Ridges Suite 831
Austinmouth, NY 98553",720.217.0668,dmonroe@example.net,closing,100,April,finansial,retail,BN/DP
4042,"Jordan, Morgan and Murray","Unit 4706 Box 8236
DPO AP 51260",001-459-384-2402x356,buchanancynthia@example.com,closing,100,September,finansial,group,AL
4043,"Hicks, Thomas and Torres","92131 Christine Port
South Penny, WY 84039",(849)381-9101x5427,woodamy@example.net,closing,100,August,perbankan,group,BN/AL/IM
4044,Ortega Group,"38142 May Estates
Lake Christopherland, NH 26584",692.305.9734,jamesanderson@example.net,closing,100,July,perbankan,retail,Ext
4045,Johnson PLC,"6871 Patrick Station
Francisville, MI 08815",694.267.8823,bruce23@example.org,closing,100,October,perdagangan,retail,BN/AL/IM
4046,Wright Inc,"388 Tammie Grove Suite 391
North Roberthaven, WI 72741",001-392-217-3919x38694,cody07@example.com,closing,100,February,pertambangan,retail,Ext
4047,"Gonzalez, Graham and Ward","762 Mccoy Mountain Apt. 479
West William, IL 86752",395.402.7659x51722,michaelsmith@example.org,closing,100,February,jasa,retail,BN/AL/IM
4048,Smith-Miller,"USCGC Berg
FPO AA 86739",001-376-902-5661x516,xsanders@example.com,closing,100,July,finansial,group,AL
4049,Williams Group,"37803 Sharp Forges Apt. 862
New Robinbury, NE 67540",+1-212-630-3614x544,bradley93@example.net,closing,100,April,teknologi,group,Ext
4050,"Hall, Hopkins and Mcintosh","2296 Peterson Lodge
Dennisfort, NV 75673",(476)444-8811x83348,joseph83@example.net,closing,100,April,finansial,retail,BN/DP
